GENE_ID	GENE_ID_noversion	logFC.as.vector.pheno.sample.class.Intermediate.Normal	logFC.as.vector.pheno.sample.class.Poor	logCPM	F	pvalue	padj	evalue	rank	Gene stable ID	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type	Gene % GC content	Source (gene)	HGNC symbol	HGNC ID
ENSG00000117069.14	ENSG00000117069	0.467808248	4.359053795	-1.829139422	42.91533403	6.08E-15	3.92E-12	3.45E-10	88	ENSG00000117069	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:19342]	1	76867480	77067546	1	protein_coding	39.92	ensembl_havana	ST6GALNAC5	HGNC:19342
ENSG00000142619.4	ENSG00000142619	-5.054596013	-5.390461172	0.503531644	42.87775523	6.21E-15	3.96E-12	3.52E-10	89	ENSG00000142619	peptidyl arginine deiminase 3 [Source:HGNC Symbol;Acc:HGNC:18337]	1	17249098	17284233	1	protein_coding	51.48	ensembl_havana	PADI3	HGNC:18337
ENSG00000145526.11	ENSG00000145526	-0.068273261	3.198616752	-2.695778888	42.76297053	6.65E-15	4.19E-12	3.77E-10	90	ENSG00000145526	cadherin 18 [Source:HGNC Symbol;Acc:HGNC:1757]	5	19471296	20575873	-1	protein_coding	34.89	ensembl_havana	CDH18	HGNC:1757
ENSG00000264230.7	ENSG00000264230	-4.665983289	-5.007968197	2.239838183	42.66710798	7.04E-15	4.36E-12	4E-10	91.5	ENSG00000264230	annexin A8 like 1 [Source:HGNC Symbol;Acc:HGNC:23334]	10	46375627	46391784	1	protein_coding	54.03	ensembl_havana	ANXA8L1	HGNC:23334
ENSG00000075035.9	ENSG00000075035	0.091632347	3.669279869	-2.017534122	42.66154279	7.07E-15	4.36E-12	4.01E-10	91.5	ENSG00000075035	WSC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29117]	12	108129288	108250537	1	protein_coding	47.04	ensembl_havana	WSCD2	HGNC:29117
ENSG00000050555.17	ENSG00000050555	-3.133348269	-3.541387384	1.880881186	42.61404913	7.27E-15	4.44E-12	4.12E-10	93	ENSG00000050555	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]	9	131009174	131094473	1	protein_coding	53.66	ensembl_havana	LAMC3	HGNC:6494
ENSG00000250591.3	ENSG00000250591	0.311103304	5.22562894	-1.16704061	42.2375183	9.11E-15	5.5E-12	5.17E-10	94	ENSG00000250591	PRSS3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43787]	7	142760415	142763943	1	unprocessed_pseudogene	51.46	havana	PRSS3P1	HGNC:43787
ENSG00000164588.6	ENSG00000164588	0.107015494	2.723318878	-2.244632115	42.19092182	9.36E-15	5.59E-12	5.31E-10	95	ENSG00000164588	hyperpolarization activated cyclic nucleotide gated potassium channel 1 [Source:HGNC Symbol;Acc:HGNC:4845]	5	45254948	45696498	-1	protein_coding	34.76	ensembl_havana	HCN1	HGNC:4845
ENSG00000106006.6	ENSG00000106006	8.100473442	7.021562899	3.439615555	41.71525408	1.25E-14	7.36E-12	7.07E-10	96	ENSG00000106006	homeobox A6 [Source:HGNC Symbol;Acc:HGNC:5107]	7	27145396	27150603	-1	protein_coding	53.82	ensembl_havana	HOXA6	HGNC:5107
ENSG00000253187.2	ENSG00000253187	5.494152847	4.803358064	4.032605842	41.68982741	1.27E-14	7.4E-12	7.18E-10	97	ENSG00000253187	HOXA10 antisense RNA [Source:HGNC Symbol;Acc:HGNC:40281]	7	27168619	27171915	1	antisense	52.78	havana	HOXA10-AS	HGNC:40281
ENSG00000151025.9	ENSG00000151025	0.569783312	4.13522332	-3.028264865	41.62837335	1.31E-14	7.6E-12	7.45E-10	98	ENSG00000151025	G protein-coupled receptor 158 [Source:HGNC Symbol;Acc:HGNC:23689]	10	25174802	25602229	1	protein_coding	36.98	ensembl_havana	GPR158	HGNC:23689
ENSG00000233766.7	ENSG00000233766	3.301899744	4.85932889	1.16557154	41.52818632	1.39E-14	7.99E-12	7.91E-10	99	ENSG00000233766	novel transcript, antisense to TMEFF2	2	191846539	192044525	1	antisense	37.59	havana		
ENSG00000129151.8	ENSG00000129151	-1.578627891	3.278277995	-2.392556719	40.85135271	2.1E-14	1.19E-11	1.19E-09	100	ENSG00000129151	gamma-butyrobetaine hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:964]	11	27040725	27127809	1	protein_coding	37.38	ensembl_havana	BBOX1	HGNC:964
ENSG00000085276.17	ENSG00000085276	1.788008635	6.008144585	3.449142288	40.67938329	2.33E-14	1.31E-11	1.32E-09	101	ENSG00000085276	MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:HGNC:3498]	3	169083499	169663775	-1	protein_coding	37.45	ensembl_havana	MECOM	HGNC:3498
ENSG00000234414.7	ENSG00000234414	4.671831589	11.2650767	-5.584344537	43.31498165	2.39E-14	1.33E-11	1.36E-09	102.5	ENSG00000234414	RNA binding motif protein, Y-linked, family 1, member A1 [Source:HGNC Symbol;Acc:HGNC:9912]	Y	21511372	21549326	1	protein_coding	39.77	ensembl_havana	RBMY1A1	HGNC:9912
ENSG00000180616.8	ENSG00000180616	-2.081230583	-2.01941443	1.496610887	40.62728308	2.41E-14	1.33E-11	1.37E-09	102.5	ENSG00000180616	somatostatin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11331]	17	73165010	73176633	1	protein_coding	47.17	ensembl_havana	SSTR2	HGNC:11331
ENSG00000132692.18	ENSG00000132692	1.438307134	3.680309855	-0.652468966	40.57564794	2.48E-14	1.34E-11	1.41E-09	104.5	ENSG00000132692	brevican [Source:HGNC Symbol;Acc:HGNC:23059]	1	156641390	156659532	1	protein_coding	55.82	ensembl_havana	BCAN	HGNC:23059
ENSG00000126231.13	ENSG00000126231	-0.137283814	2.486282323	-0.645315681	40.5790646	2.48E-14	1.34E-11	1.41E-09	104.5	ENSG00000126231	protein Z, vitamin K dependent plasma glycoprotein [Source:HGNC Symbol;Acc:HGNC:9460]	13	113158648	113172386	1	protein_coding	50.83	ensembl_havana	PROZ	HGNC:9460
ENSG00000250846.6	ENSG00000250846	0.546454768	6.176683716	-3.381690027	40.16596266	3.19E-14	1.69E-11	1.81E-09	106.5	ENSG00000250846	EPHA5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50602]	4	65669961	65698029	1	lincRNA	34.49	havana	EPHA5-AS1	HGNC:50602
ENSG00000122707.11	ENSG00000122707	2.057090863	2.585611918	3.889606683	40.177347	3.17E-14	1.69E-11	1.8E-09	106.5	ENSG00000122707	reversion inducing cysteine rich protein with kazal motifs [Source:HGNC Symbol;Acc:HGNC:11345]	9	36036913	36124455	1	protein_coding	39.23	ensembl_havana	RECK	HGNC:11345
ENSG00000265630.2	ENSG00000265630	-3.251530881	-4.077974736	-0.966124306	40.07979745	3.36E-14	1.73E-11	1.91E-09	109	ENSG00000265630	glutamate dehydrogenase 1 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:23637]	10	47563604	47569697	1	unprocessed_pseudogene	53.28	havana	GLUD1P8	HGNC:23637
ENSG00000227038.3	ENSG00000227038	-3.618310794	-4.442530434	0.472441544	40.08556182	3.35E-14	1.73E-11	1.9E-09	109	ENSG00000227038	general transcription factor IIi pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:51720]	7	76090431	76108779	-1	transcribed_unprocessed_pseudogene	43.95	havana	GTF2IP7	HGNC:51720
ENSG00000259970.1	ENSG00000259970	-2.009474377	-2.338826015	0.604397312	40.09402747	3.33E-14	1.73E-11	1.89E-09	109	ENSG00000259970	novel transcript	3	49684480	49684983	-1	processed_transcript	59.33	havana		
ENSG00000155966.13	ENSG00000155966	-2.96825549	-2.580169432	5.86404192	40.03866732	3.45E-14	1.76E-11	1.95E-09	111	ENSG00000155966	AF4/FMR2 family member 2 [Source:HGNC Symbol;Acc:HGNC:3776]	X	148500619	149000663	1	protein_coding	38.84	ensembl_havana	AFF2	HGNC:3776
ENSG00000214548.14	ENSG00000214548	-6.196916169	-3.534515174	7.156406582	40.01709698	3.49E-14	1.77E-11	1.98E-09	112	ENSG00000214548	maternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:14575]	14	100779410	100861031	1	lincRNA	51.68	ensembl_havana	MEG3	HGNC:14575
ENSG00000078399.16	ENSG00000078399	6.258050323	5.568700302	5.837041829	39.64538735	4.38E-14	2.2E-11	2.49E-09	113	ENSG00000078399	homeobox A9 [Source:HGNC Symbol;Acc:HGNC:5109]	7	27162438	27175180	-1	protein_coding	55.25	ensembl_havana	HOXA9	HGNC:5109
ENSG00000243289.1	ENSG00000243289	-1.863164566	-1.800210308	1.49429118	39.53069555	4.7E-14	2.34E-11	2.67E-09	114	ENSG00000243289	ArfGAP with GTPase domain, ankyrin repeat and PH domain 13, pseudogene [Source:HGNC Symbol;Acc:HGNC:23499]	10	46816516	46832476	1	unprocessed_pseudogene	39.12	havana	AGAP13P	HGNC:23499
ENSG00000202142.1	ENSG00000202142	-6.538016764	-5.42365796	-8.372110657	39.44365978	4.96E-14	2.45E-11	2.82E-09	115	ENSG00000202142	small nucleolar RNA, C/D box 114-18 [Source:HGNC Symbol;Acc:HGNC:33006]	14	100975825	100975896	1	snoRNA	37.5	ensembl	SNORD114-18	HGNC:33006
ENSG00000197506.7	ENSG00000197506	-3.482588087	-3.810424358	3.179406093	38.95495187	6.71E-14	3.28E-11	3.81E-09	116	ENSG00000197506	solute carrier family 28 member 3 [Source:HGNC Symbol;Acc:HGNC:16484]	9	84275457	84340683	-1	protein_coding	42.6	ensembl_havana	SLC28A3	HGNC:16484
ENSG00000075420.12	ENSG00000075420	-1.330959264	-1.292603374	7.764102673	38.80467126	7.36E-14	3.57E-11	4.18E-09	117	ENSG00000075420	fibronectin type III domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24670]	3	172039578	172401669	1	protein_coding	39.76	ensembl_havana	FNDC3B	HGNC:24670
ENSG00000199025.4	ENSG00000199025	-7.46164033	-4.536151864	-7.096420709	38.77076944	7.52E-14	3.6E-11	4.27E-09	118.5	ENSG00000199025	microRNA 369 [Source:HGNC Symbol;Acc:HGNC:31783]	14	101065598	101065667	1	miRNA	37.14	mirbase	MIR369	HGNC:31783
ENSG00000200632.1	ENSG00000200632	-5.305000471	-7.307162487	-9.236704701	41.91440501	7.54E-14	3.6E-11	4.28E-09	118.5	ENSG00000200632	small nucleolar RNA, C/D box 113-7 [Source:HGNC Symbol;Acc:HGNC:32986]	14	100941126	100941202	1	snoRNA	41.56	ensembl	SNORD113-7	HGNC:32986
ENSG00000258700.5	ENSG00000258700	0.537776599	6.830659141	-3.878914403	38.71240567	7.79E-14	3.69E-11	4.42E-09	120	ENSG00000258700	long intergenic non-protein coding RNA 871 [Source:HGNC Symbol;Acc:HGNC:47038]	14	45940943	46501823	1	lincRNA	34.53	havana	LINC00871	HGNC:47038
ENSG00000168497.4	ENSG00000168497	2.986547666	4.406841539	4.249953904	38.52709626	8.74E-14	4.1E-11	4.96E-09	121	ENSG00000168497	caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690]	2	191834310	191847088	-1	protein_coding	40.74	ensembl_havana	CAVIN2	HGNC:10690
ENSG00000242389.8	ENSG00000242389	4.953390735	11.29966595	-5.544266192	40.90479481	8.97E-14	4.17E-11	5.09E-09	122	ENSG00000242389	RNA binding motif protein, Y-linked, family 1, member E [Source:HGNC Symbol;Acc:HGNC:23916]	Y	21903618	21918067	-1	protein_coding	37.01	ensembl_havana	RBMY1E	HGNC:23916
ENSG00000144847.12	ENSG00000144847	0.812612788	4.156687755	-1.300395134	38.2859597	1.02E-13	4.65E-11	5.76E-09	123.5	ENSG00000144847	immunoglobulin superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:16669]	3	118900557	119146068	-1	protein_coding	38.47	ensembl_havana	IGSF11	HGNC:16669
ENSG00000185483.11	ENSG00000185483	1.117699301	4.462885557	-0.696144277	38.2884099	1.01E-13	4.65E-11	5.75E-09	123.5	ENSG00000185483	receptor tyrosine kinase like orphan receptor 1 [Source:HGNC Symbol;Acc:HGNC:10256]	1	63774017	64181498	1	protein_coding	40.97	ensembl_havana	ROR1	HGNC:10256
ENSG00000240990.9	ENSG00000240990	7.271305632	3.963922444	1.513241749	38.19575857	1.07E-13	4.88E-11	6.1E-09	125	ENSG00000240990	HOXA11 antisense RNA [Source:HGNC Symbol;Acc:HGNC:24957]	7	27184507	27189298	1	antisense	55.51	havana	HOXA11-AS	HGNC:24957
ENSG00000162006.9	ENSG00000162006	-3.095186894	-2.846686775	-2.242891284	38.16417158	1.1E-13	4.93E-11	6.22E-09	126	ENSG00000162006	mesothelin-like [Source:HGNC Symbol;Acc:HGNC:14170]	16	769428	783370	-1	protein_coding	61.62	ensembl_havana	MSLNL	HGNC:14170
ENSG00000119139.17	ENSG00000119139	1.956174444	2.06139007	4.562205019	37.9362426	1.26E-13	5.64E-11	7.17E-09	127	ENSG00000119139	tight junction protein 2 [Source:HGNC Symbol;Acc:HGNC:11828]	9	69121264	69274615	1	protein_coding	43.41	ensembl_havana	TJP2	HGNC:11828
ENSG00000185904.11	ENSG00000185904	-0.1014109	5.06411432	-2.127204023	37.87824543	1.31E-13	5.81E-11	7.43E-09	128	ENSG00000185904	long intergenic non-protein coding RNA 839 [Source:HGNC Symbol;Acc:HGNC:28269]	10	42475543	42495336	1	lincRNA	43.47	havana	LINC00839	HGNC:28269
ENSG00000204177.10	ENSG00000204177	-1.862396231	-1.761388028	5.381752858	37.79747681	1.38E-13	6.06E-11	7.82E-09	129	ENSG00000204177	BMS1, ribosome biogenesis factor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23649]	10	46786674	46811989	1	transcribed_unprocessed_pseudogene	41.22	havana	BMS1P1	HGNC:23649
ENSG00000169811.8	ENSG00000169811	4.198168258	10.4130843	-6.39761972	39.95278947	1.53E-13	6.61E-11	8.66E-09	130.5	ENSG00000169811	RNA binding motif protein, Y-linked, family 1, member H, pseudogene [Source:HGNC Symbol;Acc:HGNC:9916]	Y	21493519	21501968	1	unprocessed_pseudogene	36.04	havana	RBMY1HP	HGNC:9916
ENSG00000203335.4	ENSG00000203335	-3.745006555	-3.865724742	-2.46869101	37.63292181	1.53E-13	6.61E-11	8.66E-09	130.5	ENSG00000203335	novel transcript	7	154055585	154059561	-1	antisense	52.5	havana		
ENSG00000215568.7	ENSG00000215568	-0.431894905	4.403455525	-1.119517923	37.61943773	1.54E-13	6.62E-11	8.74E-09	132	ENSG00000215568	GRB2 associated binding protein family member 4 [Source:HGNC Symbol;Acc:HGNC:18325]	22	16961936	17008222	-1	protein_coding	45.23	ensembl_havana	GAB4	HGNC:18325
ENSG00000119946.10	ENSG00000119946	4.654070496	5.511765494	2.180386563	37.52161752	1.64E-13	6.98E-11	9.29E-09	133	ENSG00000119946	cyclin and CBS domain divalent metal cation transport mediator 1 [Source:HGNC Symbol;Acc:HGNC:102]	10	99329356	99394330	1	protein_coding	44.4	ensembl_havana	CNNM1	HGNC:102
ENSG00000129682.14	ENSG00000129682	-3.076159195	-3.47405917	1.807353441	37.47841271	1.68E-13	7.12E-11	9.54E-09	134	ENSG00000129682	fibroblast growth factor 13 [Source:HGNC Symbol;Acc:HGNC:3670]	X	138614727	139222777	-1	protein_coding	39.07	ensembl_havana	FGF13	HGNC:3670
ENSG00000233379.1	ENSG00000233379	0.815299992	4.800351053	-2.449832959	37.36204165	1.81E-13	7.6E-11	1.03E-08	135	ENSG00000233379	novel transcript	13	77939162	77944874	-1	lincRNA	35.34	havana		
ENSG00000169800.13	ENSG00000169800	4.575275924	10.9729698	-5.863375158	39.63383226	1.83E-13	7.61E-11	1.04E-08	136	ENSG00000169800	RNA binding motif protein, Y-linked, family 1, member F [Source:HGNC Symbol;Acc:HGNC:23974]	Y	22168542	22182982	-1	protein_coding	36.92	ensembl_havana	RBMY1F	HGNC:23974
ENSG00000202560.4	ENSG00000202560	-9.526673578	-4.877299038	-7.462068036	51.10842399	1.89E-13	7.74E-11	1.07E-08	138	ENSG00000202560	microRNA 539 [Source:HGNC Symbol;Acc:HGNC:32529]	14	101047321	101047398	1	miRNA	30.77	mirbase	MIR539	HGNC:32529
ENSG00000266903.1	ENSG00000266903	1.245107563	4.339749758	-1.772129149	37.30120278	1.88E-13	7.74E-11	1.07E-08	138	ENSG00000266903	novel transcript, antisense to CEACAM16, CEACAM19, PVR & IGSF23	19	44632199	44718759	-1	antisense	49.5	havana		
ENSG00000267458.1	ENSG00000267458	-1.285915036	-1.584256534	5.578142681	37.28850551	1.9E-13	7.74E-11	1.08E-08	138	ENSG00000267458	novel transcript, antisense to CALR	19	12944118	12944487	-1	antisense	52.43	havana		
ENSG00000115641.18	ENSG00000115641	1.096030911	2.812631621	2.302091788	37.22959419	1.97E-13	7.97E-11	1.12E-08	140	ENSG00000115641	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]	2	105357712	105438513	-1	protein_coding	44.54	ensembl_havana	FHL2	HGNC:3703
ENSG00000283588.1	ENSG00000283588	-6.485666842	-4.965081457	-8.402539841	37.21576403	1.98E-13	7.98E-11	1.13E-08	141	ENSG00000283588	microRNA 376a-1 [Source:HGNC Symbol;Acc:HGNC:31869]	14	101040782	101040849	1	miRNA	29.41	mirbase	MIR376A1	HGNC:31869
ENSG00000258399.7	ENSG00000258399	-6.479634567	-3.68225968	1.22501578	37.19403961	2.01E-13	8.03E-11	1.14E-08	142	ENSG00000258399	novel transcript	14	100836269	100947194	1	lincRNA	46.71	havana		
ENSG00000255305.1	ENSG00000255305	-6.796471667	-5.179286351	-3.51717169	37.10883181	2.12E-13	8.42E-11	1.2E-08	143	ENSG00000255305	Ankyrin repeat domain-containing protein 33B (ANKRD33B) pseudogene	11	89978540	89980661	1	unprocessed_pseudogene	59.94	havana		
ENSG00000158270.11	ENSG00000158270	-2.41288304	-2.009507291	0.692383614	37.08929292	2.15E-13	8.43E-11	1.22E-08	144.5	ENSG00000158270	collectin subfamily member 12 [Source:HGNC Symbol;Acc:HGNC:16016]	18	316737	500722	-1	protein_coding	43.13	ensembl_havana	COLEC12	HGNC:16016
ENSG00000197576.13	ENSG00000197576	5.588949078	4.620135593	2.781061834	37.08513125	2.15E-13	8.43E-11	1.22E-08	144.5	ENSG00000197576	homeobox A4 [Source:HGNC Symbol;Acc:HGNC:5105]	7	27128507	27130799	-1	protein_coding	57.04	ensembl_havana	HOXA4	HGNC:5105
ENSG00000224919.1	ENSG00000224919	-1.942648333	-2.01347209	0.47083878	37.06302577	2.18E-13	8.49E-11	1.24E-08	146	ENSG00000224919	novel transcript	10	47496212	47502195	1	antisense	44.85	havana		
ENSG00000261645.5	ENSG00000261645	1.605531379	4.491581048	-1.942413352	36.98179019	2.3E-13	8.86E-11	1.3E-08	148	ENSG00000261645	DISC1 fusion partner 1 [Source:HGNC Symbol;Acc:HGNC:33625]	11	90251204	90915052	1	processed_transcript	35.4	havana	DISC1FP1	HGNC:33625
ENSG00000122592.7	ENSG00000122592	6.658102087	5.734592669	4.101254087	36.96324526	2.33E-13	8.86E-11	1.32E-08	148	ENSG00000122592	homeobox A7 [Source:HGNC Symbol;Acc:HGNC:5108]	7	27153716	27157936	-1	protein_coding	56.62	ensembl_havana	HOXA7	HGNC:5108
ENSG00000276490.1	ENSG00000276490	0.204313277	4.815949544	-1.591047016	36.96636851	2.32E-13	8.86E-11	1.32E-08	148	ENSG00000276490	novel transcript	10	94688154	94853073	1	protein_coding	38.89	havana		
ENSG00000105996.6	ENSG00000105996	4.207220736	3.391758813	1.077004774	36.89572738	2.43E-13	9.18E-11	1.38E-08	150	ENSG00000105996	homeobox A2 [Source:HGNC Symbol;Acc:HGNC:5103]	7	27100354	27102686	-1	protein_coding	50.02	ensembl_havana	HOXA2	HGNC:5103
ENSG00000142408.3	ENSG00000142408	-0.457191068	2.327937541	0.644901802	36.83529179	2.52E-13	9.47E-11	1.43E-08	151	ENSG00000142408	calcium voltage-gated channel auxiliary subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:13628]	19	53963040	53990215	1	protein_coding	53.11	ensembl_havana	CACNG8	HGNC:13628
ENSG00000277966.1	ENSG00000277966	12.21652878	9.809535858	-2.960836525	36.79567844	2.58E-13	9.65E-11	1.47E-08	152	ENSG00000277966		7	27186892	27187124	1	misc_RNA	29.18	ensembl		
ENSG00000084628.9	ENSG00000084628	-2.421902999	2.484039311	-0.468822702	36.76994812	2.63E-13	9.74E-11	1.49E-08	153	ENSG00000084628	sodium/potassium transporting ATPase interacting 1 [Source:HGNC Symbol;Acc:HGNC:25743]	1	31179745	31239887	-1	protein_coding	50.64	ensembl_havana	NKAIN1	HGNC:25743
ENSG00000184368.15	ENSG00000184368	0.110674706	3.145529726	0.515066012	36.72597355	2.7E-13	9.95E-11	1.53E-08	154	ENSG00000184368	MAP7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25899]	X	20006713	20116907	-1	protein_coding	44.43	ensembl_havana	MAP7D2	HGNC:25899
ENSG00000140836.14	ENSG00000140836	-1.639272646	-1.350147119	5.881681724	36.70474605	2.74E-13	1E-10	1.55E-08	155	ENSG00000140836	zinc finger homeobox 3 [Source:HGNC Symbol;Acc:HGNC:777]	16	72782885	73891871	-1	protein_coding	43.39	ensembl_havana	ZFHX3	HGNC:777
ENSG00000019991.15	ENSG00000019991	-2.759588555	-2.855756568	7.285555853	36.67144668	2.8E-13	1.02E-10	1.59E-08	156	ENSG00000019991	hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]	7	81699008	81770438	-1	protein_coding	34.42	ensembl_havana	HGF	HGNC:4893
ENSG00000233388.2	ENSG00000233388	0.430868413	2.623283438	-1.723199839	36.64240785	2.85E-13	1.03E-10	1.62E-08	157	ENSG00000233388	tRNA methyltransferase 11 homolog (S. cerevisiae) (TRMT11) pseudogene	22	35501861	35503586	-1	processed_pseudogene	39.75	havana		
ENSG00000229425.2	ENSG00000229425	2.565183235	6.226149902	2.918112163	36.61256014	2.9E-13	1.04E-10	1.65E-08	158	ENSG00000229425	novel transcript	21	15370500	15627342	-1	lincRNA	37.64	havana		
ENSG00000275131.2	ENSG00000275131	1.316324089	1.706154853	4.00990613	36.5935373	2.94E-13	1.05E-10	1.67E-08	159	ENSG00000275131	phosphodiesterase 4D interacting protein (PDE4DIP) pseudogene	1	120489860	120701289	-1	transcribed_unprocessed_pseudogene	40.82	havana		
ENSG00000090932.10	ENSG00000090932	-3.721092974	-5.351491899	0.358757801	36.56598874	2.99E-13	1.06E-10	1.7E-08	160	ENSG00000090932	delta like canonical Notch ligand 3 [Source:NCBI gene;Acc:10683]	19	39498895	39508481	1	protein_coding	56.84	ensembl_havana		
ENSG00000276352.2	ENSG00000276352	-6.58774823	-3.971869234	-8.604619715	36.52387885	3.07E-13	1.08E-10	1.74E-08	161	ENSG00000276352	microRNA 668 [Source:HGNC Symbol;Acc:HGNC:33135]	14	101055258	101055323	1	miRNA	59.09	mirbase	MIR668	HGNC:33135
ENSG00000194717.4	ENSG00000194717	-8.498185974	-5.087174861	-8.365842767	49.40495053	3.51E-13	1.22E-10	1.99E-08	163	ENSG00000194717	microRNA 494 [Source:HGNC Symbol;Acc:HGNC:32084]	14	101029634	101029714	1	miRNA	38.27	mirbase	MIR494	HGNC:32084
ENSG00000204983.12	ENSG00000204983	0.667885714	3.963562578	-0.893013023	36.31087723	3.51E-13	1.22E-10	1.99E-08	163	ENSG00000204983	serine protease 1 [Source:HGNC Symbol;Acc:HGNC:9475]	7	142749468	142753076	1	protein_coding	51.95	ensembl_havana	PRSS1	HGNC:9475
ENSG00000201689.1	ENSG00000201689	-7.049954594	-2.376177469	-8.061161941	36.30676803	3.52E-13	1.22E-10	2E-08	163	ENSG00000201689	small nucleolar RNA, C/D box 114-29 [Source:HGNC Symbol;Acc:HGNC:33017]	14	100990091	100990160	1	snoRNA	42.86	ensembl	SNORD114-29	HGNC:33017
ENSG00000198681.6	ENSG00000198681	0.542899739	6.145662973	-3.770644406	36.27674224	3.59E-13	1.23E-10	2.04E-08	165	ENSG00000198681	MAGE family member A1 [Source:HGNC Symbol;Acc:HGNC:6796]	X	153179284	153183880	1	protein_coding	55.93	ensembl_havana	MAGEA1	HGNC:6796
ENSG00000155052.14	ENSG00000155052	1.21217384	5.628846593	-0.911826592	36.26483615	3.62E-13	1.24E-10	2.05E-08	166.5	ENSG00000155052	contactin associated protein like 5 [Source:HGNC Symbol;Acc:HGNC:18748]	2	124025287	124915287	1	protein_coding	38.93	ensembl_havana	CNTNAP5	HGNC:18748
ENSG00000273433.1	ENSG00000273433	6.308250001	5.305240393	2.891294588	36.25571832	3.64E-13	1.24E-10	2.06E-08	166.5	ENSG00000273433	novel transcript	7	27128969	27152561	-1	processed_transcript	51.09	havana		
ENSG00000199088.5	ENSG00000199088	-9.175690822	-5.112143883	-7.782717468	49.18547774	3.81E-13	1.29E-10	2.16E-08	168	ENSG00000199088	microRNA 379 [Source:HGNC Symbol;Acc:HGNC:31872]	14	101022066	101022132	1	miRNA	41.79	mirbase	MIR379	HGNC:31872
ENSG00000167281.18	ENSG00000167281	-1.786667707	-1.748253931	1.715996501	36.12134029	3.96E-13	1.33E-10	2.25E-08	169	ENSG00000167281	RNA binding fox-1 homolog 3 [Source:HGNC Symbol;Acc:HGNC:27097]	17	79089345	79516148	-1	protein_coding	55.28	ensembl_havana	RBFOX3	HGNC:27097
ENSG00000198982.4	ENSG00000198982	-8.458626967	-4.821111048	-8.390316578	49.03012806	4.03E-13	1.34E-10	2.29E-08	170.5	ENSG00000198982	microRNA 380 [Source:HGNC Symbol;Acc:HGNC:31873]	14	101025017	101025077	1	miRNA	40.98	mirbase	MIR380	HGNC:31873
ENSG00000172935.8	ENSG00000172935	-2.702636984	-2.998249746	-1.749861485	36.10223173	4.01E-13	1.34E-10	2.28E-08	170.5	ENSG00000172935	MAS related GPR family member F [Source:HGNC Symbol;Acc:HGNC:24828]	11	69004395	69013382	-1	protein_coding	60.09	ensembl_havana	MRGPRF	HGNC:24828
ENSG00000145916.18	ENSG00000145916	0.825388358	0.737668951	5.289417066	35.93441912	4.46E-13	1.47E-10	2.53E-08	172	ENSG00000145916	required for meiotic nuclear division 5 homolog B [Source:HGNC Symbol;Acc:HGNC:26181]	5	178130996	178150568	1	protein_coding	49.48	ensembl_havana	RMND5B	HGNC:26181
ENSG00000283143.1	ENSG00000283143	2.030480658	2.184114856	3.781028856	35.65855714	5.32E-13	1.75E-10	3.02E-08	173											
ENSG00000238405.1	ENSG00000238405	-1.94481395	-1.848093654	-0.335216075	35.56142388	5.66E-13	1.85E-10	3.21E-08	174	ENSG00000238405	RNA, 5S ribosomal pseudogene 311 [Source:HGNC Symbol;Acc:HGNC:43211]	10	46807458	46807573	-1	rRNA_pseudogene	48.28	ensembl	RNA5SP311	HGNC:43211
ENSG00000183578.6	ENSG00000183578	-3.764152766	-3.041148165	-0.778394392	35.36886747	6.41E-13	2.08E-10	3.63E-08	175	ENSG00000183578	TNF alpha induced protein 8 like 3 [Source:HGNC Symbol;Acc:HGNC:20620]	15	51056598	51105276	-1	protein_coding	44.72	ensembl_havana	TNFAIP8L3	HGNC:20620
ENSG00000131094.3	ENSG00000131094	3.455666325	0.251258361	-1.905691496	35.30879161	6.66E-13	2.15E-10	3.78E-08	176	ENSG00000131094	complement C1q like 1 [Source:HGNC Symbol;Acc:HGNC:24182]	17	44959693	44968303	-1	protein_coding	57.24	ensembl_havana	C1QL1	HGNC:24182
